title,index,duration,parallel,pre-dependency,nxt-dependency,start,finish
grape,0,27,False,[],[],,
grape,1,45,True,[],"[2, 5, 6, 7, 8, 9, 10, 12]",,
grape,2,18,False,[1],"[5, 8, 9, 12, 13]",,
grape,3,34,True,[],"[4, 5, 7, 8, 9, 11, 12, 13]",,
grape,4,31,True,[3],"[5, 9, 10, 11, 12, 13]",,
grape,5,19,False,"[2, 1, 4, 3]","[7, 8, 11, 13]",,
grape,6,24,False,[1],"[9, 10, 11, 12, 13]",,
grape,7,43,True,"[1, 3, 5]","[9, 10, 11, 12, 13]",,
grape,8,5,True,"[1, 3, 5, 2]","[9, 11, 12, 13]",,
grape,9,13,True,"[8, 1, 7, 3, 2, 6, 4]","[10, 13]",,
grape,10,37,True,"[9, 6, 7, 4, 1]","[11, 13]",,
grape,11,13,False,"[3, 7, 5, 4, 6, 10, 8]","[12, 13]",,
grape,12,49,True,"[2, 1, 8, 7, 4, 6, 11, 3]",[13],,
grape,13,41,False,"[3, 10, 7, 11, 8, 4, 2, 12, 9, 5, 6]",[],,
drink,0,11,True,[],[],,
drink,1,15,True,[],"[4, 5, 7]",,
drink,2,38,False,[],"[3, 4, 7]",,
drink,3,36,False,[2],[4],,
drink,4,33,False,"[1, 3, 2]",[5],,
drink,5,25,False,"[4, 1]",[7],,
drink,6,12,True,[],[],,
drink,7,50,True,"[2, 1, 5]",[],,
icecream,0,4,True,[],[],,
icecream,1,37,True,[],"[3, 4, 7, 8, 9, 10, 12, 14, 15, 17, 19]",,
icecream,2,45,False,[],"[3, 4, 5, 8, 9, 10, 12, 14, 16, 17]",,
icecream,3,50,True,"[1, 2]","[4, 5, 7, 8, 10, 12, 14, 17, 19]",,
icecream,4,17,False,"[1, 3, 2]","[5, 7, 8, 10, 12, 14, 15, 17]",,
icecream,5,41,True,"[3, 4, 2]","[7, 9, 12, 14, 17]",,
icecream,6,35,False,[],"[7, 8, 9, 12, 14, 15, 17, 19]",,
icecream,7,13,False,"[4, 5, 1, 6, 3]","[10, 12, 14, 17, 18, 19]",,
icecream,8,43,False,"[4, 1, 3, 2, 6]","[12, 13, 14, 17, 18]",,
icecream,9,22,False,"[5, 1, 2, 6]","[12, 14, 17, 18]",,
icecream,10,2,True,"[7, 4, 2, 1, 3]","[12, 14, 17, 18]",,
icecream,11,5,False,[],"[13, 14, 17]",,
icecream,12,24,False,"[1, 9, 3, 5, 2, 4, 6, 8, 10, 7]",[17],,
icecream,13,4,False,"[8, 11]","[17, 19]",,
icecream,14,28,False,"[9, 2, 1, 10, 5, 6, 4, 7, 11, 3, 8]","[17, 18, 19]",,
icecream,15,17,False,"[4, 1, 6]","[17, 18]",,
icecream,16,4,False,[2],"[17, 19]",,
icecream,17,40,False,"[3, 8, 14, 6, 4, 7, 13, 2, 12, 15, 9, 5, 1, 10, 11, 16]",[18],,
icecream,18,40,True,"[15, 17, 14, 8, 9, 7, 10]",[],,
icecream,19,22,True,"[1, 7, 16, 13, 14, 6, 3]",[],,
cake,0,39,True,[],[],,
cake,1,16,False,[],"[5, 6, 7, 9, 10, 12]",,
cake,2,21,False,[],"[5, 8, 9, 12, 13]",,
cake,3,13,True,[],"[7, 9, 12]",,
cake,4,16,False,[],"[5, 6, 8, 9]",,
cake,5,15,True,"[2, 1, 4]","[6, 7, 8, 9, 10, 12]",,
cake,6,33,False,"[5, 1, 4]","[8, 9, 12]",,
cake,7,4,True,"[5, 1, 3]","[8, 9, 12]",,
cake,8,33,False,"[4, 7, 6, 5, 2]","[9, 12]",,
cake,9,6,True,"[2, 4, 7, 5, 8, 1, 6, 3]","[12, 13]",,
cake,10,6,True,"[5, 1]",[12],,
cake,11,1,True,[],[12],,
cake,12,37,False,"[2, 8, 5, 1, 7, 6, 3, 10, 11, 9]",[],,
cake,13,8,True,"[2, 9]",[],,
